wordID,word,pos,definition
997,checking,p. pr. & vb. n.,of Check
998,cheese,n.,"The curd of milk, coagulated usually with rennet, separated from the whey, and pressed into a solid mass in a hoop or mold"
999,chef,n.,A chief of head person
1000,chemical,a.,Pertaining to chemistry
1001,chemistry,n.,"That branch of science which treats of the composition of substances, and of the changes which they undergo in consequence of alterations in the constitution of the molecules, which depend upon variations of the number, kind, or mode of arrangement, of the constituent atoms"
1002,cheque,n.,See Check
1003,cherry,n.,A tree or shrub of the genus Prunus (Which also includes the plum) bearing a fleshy drupe with a bony stone
1004,chess,n.,"A game played on a chessboard, by two persons, with two differently colored sets of men, sixteen in each set"
1005,chest,n.,"A large box of wood, or other material, having, like a trunk, a lid, but no covering of skin, leather, or cloth"
1006,chevy,v. t.,"See Chivy, v"
1007,chick,v. i.,"To sprout, as seed in the ground"
1008,chicken,n.,"A young bird or fowl, esp"
1009,chief,n.,The head or leader of any body of men
1010,children,pl. ,of Child
1011,child,n.,A son or a daughter
1012,childhood,n.,The state of being a child
1013,china,n.,A country in Eastern Asia
1014,chinese,a.,Of or pertaining to China
1015,chip,v. t.,To cut small pieces from
1016,chips,n.,A ship's carpenter
1017,chocolate,n.,"A paste or cake composed of the roasted seeds of the Theobroma Cacao ground and mixed with other ingredients, usually sugar, and cinnamon or vanilla"
1018,choice,n.,Act of choosing
1019,choir,n.,"A band or organized company of singers, especially in church service"
1020,chose,imp.,of Choose
1021,chosen,p. p.,of Choose
1022,choosing,p. pr. & vb. n.,of Choose
1023,choose,v. t.,To make choice of
1024,chorus,n.,A band of singers and dancers
1025,christ,n.,The Anointed
1026,christian,n.,"One who believes, or professes or is assumed to believe, in Jesus Christ, and the truth as taught by Him"
1027,christianity,n.,The religion of Christians
1028,christmas,n.,"An annual church festival (December 25) and in some States a legal holiday, in memory of the birth of Christ, often celebrated by a particular church service, and also by special gifts, greetings, and hospitality"
1029,chrome,n.,Same as Chromium
1030,chronic,a.,Relating to time
1031,chronicle,n.,An historical register or account of facts or events disposed in the order of time
1032,chubby,a.,Like a chub
1033,chuck,v. i.,To make a noise resembling that of a hen when she calls her chickens
1034,church,n.,A building set apart for Christian worship
1035,cigarette,n.,A little cigar
1036,circle,n.,"A plane figure, bounded by a single curve line called its circumference, every part of which is equally distant from a point within it, called the center"
1037,circuit,n.,"The act of moving or revolving around, or as in a circle or orbit"
1038,circular,a.,"In the form of, or bounded by, a circle"
1039,circulation,n.,"The act of moving in a circle, or in a course which brings the moving body to the place where its motion began"
1040,circus,n.,"A level oblong space surrounded on three sides by seats of wood, earth, or stone, rising in tiers one above another, and divided lengthwise through the middle by a barrier around which the track or course was laid out"
1041,cisco,n.,"The Lake herring (Coregonus Artedi), valuable food fish of the Great Lakes of North America"
1042,citation,n.,An official summons or notice given to a person to appear
1043,cited,imp. & p. p.,of Cite
1044,cite,v. t.,"To call upon officially or authoritatively to appear, as before a court"
1045,citizen,n.,One who enjoys the freedom and privileges of a city
1046,citizenship,n.,The state of being a citizen
1047,cities,pl. ,of City
1048,city,n.,A large town
1049,civic,a.,"Relating to, or derived from, a city or citizen"
1050,civil,a.,"Pertaining to a city or state, or to a citizen in his relations to his fellow citizens or to the state"
1051,civilian,n.,One skilled in the civil law
1052,civilization,n.,"The act of civilizing, or the state of being civilized"
1053,claimed,imp. & p. p.,of Claim
1054,claim,v./.,"To ask for, or seek to obtain, by virtue of authority, right, or supposed right"
1055,clan,n.,"A tribe or collection of families, united under a chieftain, regarded as having the same common ancestor, and bearing the same surname"
1056,clarity,n.,Clearness
1057,class,n.,A group of individuals ranked together as possessing common characteristics
1058,classic,n.,Alt
1059,classical,n.,"Of or relating to the first class or rank, especially in literature or art"
1060,classification,n.,The act of forming into a class or classes
1061,classified,imp. & pp.,of Classify
1062,classes,pl. ,of Classis
1063,clause,n.,"A separate portion of a written paper, paragraph, or sentence"
1064,clay,n.,"A soft earth, which is plastic, or may be molded with the hands, consisting of hydrous silicate of aluminium"
1065,clean,superl.,Free from dirt or filth
1066,cleaning,p. pr. & vb. n.,of Clean
1067,cleaner,n.,"One who, or that which, cleans"
1068,clear,superl.,Free from opaqueness
1069,cleared,imp. & p. p.,of Clear
1070,clearing,p. pr. & vb. n.,of Clear
1071,clearance,n.,The act of clearing
1072,clearly,adv.,In a clear manner
1073,clerk,n.,A clergyman or ecclesiastic
1074,clicking,p. pr. & vb. n.,of Click
1075,click,v. i.,"To make a slight, sharp noise (or a succession of such noises), as by gentle striking"
1076,client,n.,"A citizen who put himself under the protection of a man of distinction and influence, who was called his patron"
1077,cliff,n.,"A high, steep rock"
1078,climate,v. i.,"One of thirty regions or zones, parallel to the equator, into which the surface of the earth from the equator to the pole was divided, according to the successive increase of the length of the midsummer day"
1079,climbing,p. pr. & vb. n.,of Climb
1080,climb,v. i.,"To ascend or mount laboriously, esp"
1081,clinic,n.,One confined to the bed by sickness
1082,clinical,v. i.,Alt
1083,clip,v. t.,"To embrace, hence"
1084,clock,n.,"A machine for measuring time, indicating the hour and other divisions by means of hands moving on a dial plate"
1085,closed,imp. & p. p.,of Close
1086,closing,p. pr. & vb. n.,of Close
1087,close,n.,"To stop, or fill up, as an opening"
1088,closely,adv.,In a close manner
1089,closer,n.,"One who, or that which, closes"
1090,closure,v. t.,The act of shutting
1091,clothes,pl. ,of Cloth
1092,cloth,n.,"A fabric made of fibrous material (or sometimes of wire, as in wire cloth)"
1093,clothing,p. pr. & vb. n.,of Clothe
1094,cloud,n.,"A collection of visible vapor, or watery particles, suspended in the upper atmosphere"
1095,cloudy,n.,Overcast or obscured with clouds
1096,club,n.,"A heavy staff of wood, usually tapering, and wielded the hand"
1097,cluster,n.,A number of things of the same kind growing together
1098,coach,n.,"A large, closed, four-wheeled carriage, having doors in the sides, and generally a front and back seat inside, each for two persons, and an elevated outside seat in front for the driver"
1099,coaching,p. pr. & vb. n.,of Coach
1100,coal,n.,"A thoroughly charred, and extinguished or still ignited, fragment from wood or other combustible substance"
1101,coalition,n.,The act of coalescing
1102,coast,v. t.,The side of a thing
1103,coastal,a.,Of or pertaining to a coast
1104,coat,n.,An outer garment fitting the upper part of the body
1105,coated,imp. & p. p.,of Coat
1106,coating,p. pr. & vb. n.,of Coat
1107,cock,n.,"The male of birds, particularly of gallinaceous or domestic fowls"
1108,cocktail,n.,"A beverage made of brandy, whisky, or gin, iced, flavored, and sweetened"
1109,cod,n.,A husk
1110,code,n.,"A body of law, sanctioned by legislation, in which the rules of law to be specifically applied by the courts are set forth in systematic form"
1111,coffee,n.,"The ""beans"" or ""berries"" (pyrenes) obtained from the drupes of a small evergreen tree of the genus Coffea, growing in Abyssinia, Arabia, Persia, and other warm regions of Asia and Africa, and also in tropical America"
1112,cognitive,a.,"Knowing, or apprehending by the understanding"
1113,coin,n.,A quoin
1114,col,n.,A short ridge connecting two higher elevations or mountains
1115,cold,n.,"Deprived of heat, or having a low temperature"
1116,cole,n.,A plant of the Brassica or Cabbage genus
1117,colin,n.,The American quail or bobwhite
1118,collaboration,n.,The act of working together
1119,collapse,v. i.,"To fall together suddenly, as the sides of a hollow vessel"
1120,collar,n.,"Something worn round the neck, whether for use, ornament, restraint, or identification"
1121,colleague,n.,A partner or associate in some civil or ecclesiastical office or employment
1122,collected,imp. & p. p.,of Collect
1123,collecting,p. pr. & vb. n.,of Collect
1124,collect,v. t.,To gather into one body or place
1125,collectible,a.,Capable of being collected
1126,collection,n.,The act or process of collecting or of gathering
1127,collective,a.,Formed by gathering or collecting
1128,collector,n.,One who collects things which are separate
1129,college,n.,"A collection, body, or society of persons engaged in common pursuits, or having common duties and interests, and sometimes, by charter, peculiar rights and privileges"
1130,cologne,n.,"A perfumed liquid, composed of alcohol and certain aromatic oils, used in the toilet"
1131,colon,n.,That part of the large intestines which extends from the caecum to the rectum
1132,colonial,a.,Of or pertaining to a colony
1133,colony,n.,"A company of people transplanted from their mother country to a remote province or country, and remaining subject to the jurisdiction of the parent state"
1134,color,n.,"A property depending on the relations of light to the eye, by which individual and specific differences in the hues and tints of objects are apprehended in vision"
1135,colored,imp. & p. p.,of Color
1136,colour,n.,See Color
1137,columbia,n.,America
1138,column,n.,A kind of pillar
1139,combat,v. i.,"To struggle or contend, as with an opposing force"
1140,combination,n.,The act or process of combining or uniting persons and things
1141,combined,imp. & p. p.,of Combine
1142,combining,p. pr. & vb. n.,of Combine
1143,combine,v. t.,To unite or join
1144,come,p. p.,of Come
1145,coming,p. pr & vb. n.,of Come
1146,comedy,n.,"A dramatic composition, or representation of a bright and amusing character, based upon the foibles of individuals, the manners of society, or the ludicrous events or accidents of life"
1147,comes,n.,The answer to the theme (dux) in a fugue
1148,comfort,v. t.,To make strong
1149,comfortable,a.,Strong
1150,comic,a.,"Relating to comedy, as distinct from tragedy"
1151,command,v. t.,To order with authority
1152,commander,n.,A chief
1153,commented,imp. & p. p.,of Comment
1154,comment,v. i.,"To make remarks, observations, or criticism"
1155,commentary,v. i.,A series of comments or annotations
1156,commerce,n.,The exchange or buying and selling of commodities
1157,commercial,a.,Of or pertaining to commerce
1158,commission,n.,"The act of committing, doing, or performing"
1159,commissioner,n.,"A person who has a commission or warrant to perform some office, or execute some business, for the government, corporation, or person employing him"
1160,committed,imp. & p. p.,of Commit
1161,commit,v. t.,To give in trust
1162,commitment,n.,"The act of committing, or putting in charge, keeping, or trust"
1163,committee,n.,"One or more persons elected or appointed, to whom any matter or business is referred, either by a legislative body, or by a court, or by any collective body of men acting together"
1164,commodities,pl. ,of Commodity
1165,commodity,n.,Convenience
1166,common,v.,"Belonging or relating equally, or similarly, to more than one"
1167,commonly,adv.,Usually
1168,commons,n. pl.,"The mass of the people, as distinguished from the titled classes or nobility"
1169,commonwealth,n.,A state
1170,communicate,v. i.,To share in common
1171,communication,n.,The act or fact of communicating
1172,communist,n.,An advocate for the theory or practice of communism
1173,communities,pl. ,of Community
1174,community,n.,Common possession or enjoyment
1175,compact,p. p. & a,Joined or held together
1176,companion,n.,"One who accompanies or is in company with another for a longer or shorter period, either from choice or casually"
1177,companies,pl. ,of Company
1178,company,n.,The state of being a companion or companions
1179,comparable,a.,Capable of being compared
1180,comparative,a.,Of or pertaining to comparison
1181,compared,imp. & p. p.,of Compare
1182,comparing,p. pr. & vb. n.,of Compare
1183,compare,v. t.,"To examine the character or qualities of, as of two or more persons or things, for the purpose of discovering their resemblances or differences"
1184,comparison,n.,The act of comparing
1185,compatibility,n.,The quality or power of being compatible or congruous
1186,compatible,a.,Capable of existing in harmony
1187,compensation,n.,The act or principle of compensating
1188,competing,p. pr. & vb. n.,of Compete
1189,compete,v. i.,To contend emulously
1190,competent,a.,Answering to all requirements
1191,competition,n.,"The act of seeking, or endeavoring to gain, what another is endeavoring to gain at the same time"
1192,competitive,a.,Of or pertaining to competition
1193,compilation,n.,The act or process of compiling or gathering together from various sources
1194,compiled,imp. & p. p.,of Compile
1195,compile,v. t.,To put together
1196,compiler,n.,One who compiles
1197,complaint,n.,"Expression of grief, regret, pain, censure, or resentment"
1198,complement,v. t.,That which fills up or completes
1199,complete,a.,Filled up
1200,completed,imp. & p. p.,of Complete
1201,completing,p. pr. & vb. n.,of Complete
1202,completely,adv.,In a complete manner
1203,completion,n.,The act or process of making complete
1204,complex,n.,Composed of two or more parts
1205,complexity,n.,The state of being complex
1206,compliance,n.,The act of complying
1207,compliant,a.,Yielding
1208,complicated,imp. & p. p.,of Complicate
1209,complimentary,a.,Expressive of regard or praise
1210,comply,v. i.,To yield assent
1211,component,v. t.,"Serving, or helping, to form"
1212,composed,imp. & p. p.,of Compose
1213,composer,n.,One who composes
1214,composite,v. t.,Made up of distinct parts or elements
1215,composition,n.,"The act or art of composing, or forming a whole or integral, by placing together and uniting different things, parts, or ingredients"
1216,compound,n.,"In the East Indies, an inclosure containing a house, outbuildings, etc"
1217,comprehensive,a.,Including much
1218,compressed,imp. & p. p.,of Compress
1219,compression,n.,"The act of compressing, or state of being compressed"
1220,compromise,n.,A mutual agreement to refer matters in dispute to the decision of arbitrators
1221,computation,n.,The act or process of computing
1222,computed,imp. & p. p.,of Compute
1223,computing,p. pr. & vb. n.,of Compute
1224,compute,v. t.,To determine calculation
1225,computer,n.,One who computes
1226,con,adv.,Against the affirmative side
1227,concentrate,v. t.,"To bring to, or direct toward, a common center"
1228,concentration,n.,The act or process of concentrating
1229,concept,n.,An abstract general conception
1230,conceptual,a.,Pertaining to conception
1231,concerned,imp. & p. p.,of Concern
1232,concerning,p. pr. & vb. n.,of Concern
1233,concern,v. t.,To relate or belong to
1234,concert,v. t.,To plan together
1235,concluded,imp. & p. p.,of Conclude
1236,conclude,v. t.,To shut up
1237,conclusion,n.,The last part of anything
1238,concord,n.,A state of agreement
1239,concrete,a.,United in growth
1240,condition,n.,Mode or state of being
1241,conditioning,p. pr. & vb. n.,of Condition
1242,conditional,a.,"Containing, implying, or depending on, a condition or conditions"
1243,conduct,n.,The act or method of conducting
1244,conducted,imp. & p. p.,of Conduct
1245,conducting,p. pr. & vb. n.,of Conduct
1246,conference,n.,The act of comparing two or more things together
1247,confidence,n.,"The act of confiding, trusting, or putting faith in"
1248,confident,n.,See Confidant
1249,confidential,a.,"Enjoying, or treated with, confidence"
1250,configuration,n.,"Form, as depending on the relative disposition of the parts of a thing' shape"
1251,configured,imp. & p. p.,of Configure
1252,configuring,p. pr. & vb. n.,of Configure
1253,configure,v. t.,"To arrange or dispose in a certain form, figure, or shape"
1254,confirm,v. t.,To make firm or firmer
1255,confirmation,n.,The act of confirming or strengthening
1256,conflict,v.,A striking or dashing together
1257,confused,imp. & p. p.,of Confuse
1258,confusion,n.,The state of being mixed or blended so as to produce indistinctness or error
1259,congo,n.,"Black tea, of higher grade (finer leaf and less dusty) than the present bohea"
1260,congress,n.,"A meeting of individuals, whether friendly or hostile"
1261,congressional,a.,"Of or pertaining to a congress, especially, to the Congress of the United States"
1262,conjunction,n.,"The act of conjoining, or the state of being conjoined, united, or associated"
1263,connected,imp. & p. p.,of Connect
1264,connecting,p. pr. & vb. n.,of Connect
1265,connect,v. t.,"To join, or fasten together, as by something intervening"
1266,connection,n.,"The act of connecting, or the state of being connected"
1267,connector,n.,"One who, or that which, connects"
1268,conscious,a.,Possessing the faculty of knowing one's own thoughts or mental operations
1269,consciousness,n.,The state of being conscious
1270,consecutive,a.,Following in a train
1271,consensus,n.,Agreement
1272,consent,v. i.,To agree in opinion or sentiment
1273,consequence,n.,That which follows something on which it depends
1274,consequently,adv.,By consequence
1275,conservation,n.,"The act of preserving, guarding, or protecting"
1276,conservative,a.,"Having power to preserve in a safe of entire state, or from loss, waste, or injury"
1277,considered,imp. & p. p.,of Consider
1278,considering,p. pr. & vb. n.,of Consider
1279,consider,v. t.,"To fix the mind on, with a view to a careful examination"
1280,considerable,a.,"Worthy of consideration, borne in mind, or attended to"
1281,consideration,n.,The act or process of considering
1282,consisting,p. pr. & vb. n.,of Consist
1283,consist,v. i.,To stand firm
1284,consistency,n.,"The condition of standing or adhering together, or being fixed in union, as the parts of a body"
1285,consistent,a.,Possessing firmness or fixedness
1286,consistently,adv.,In a consistent manner
1287,console,v. t.,To cheer in distress or depression
1288,consolidated,imp. & p. p.,of Consolidate
1289,consolidation,n.,"The act or process of consolidating, making firm, or uniting"
1290,conspiracy,n.,A combination of men for an evil purpose
1291,constant,v. t.,Firm
1292,constantly,adv.,With constancy
1293,constitute,v. t.,To cause to stand
1294,constitution,n.,The act or process of constituting
1295,constitutional,a.,"Belonging to, or inherent in, the constitution, or in the structure of body or mind"
1296,ties,pl. ,of Constitutionality
1297,constraint,n.,"The act of constraining, or the state of being constrained"
1298,constructed,imp. & p. p.,of Construct
1299,construct,v. t.,To put together the constituent parts of (something) in their proper place and order
1300,construction,n.,The process or art of constructing
1301,consulting,p. pr. & vb. n.,of Consult
1302,consult,v. i.,To seek the opinion or advice of another
1303,consultation,n.,The act of consulting or conferring
1304,consumer,n.,"One who, or that which, consumes"
1305,consumption,n.,"The act or process of consuming by use, waste, etc"
1306,contact,n.,A close union or junction of bodies
1307,contained,imp. & p. p.,of Contain
1308,containing,p. pr. & vb. n.,of Contain
1309,contain,v. t.,To hold within fixed limits
1310,container,n.,"One who, or that which, contains"
1311,contamination,n.,The act or process of contaminating
1312,contemporary,a.,"Living, occuring, or existing, at the same time"
1313,content,a.,Contained within limits
1314,contents,pl. ,of Content
1315,contest,v. t.,"To make a subject of dispute, contention, litigation, or emulation"
1316,context,a.,Knit or woven together
1317,continent,a.,Serving to restrain or limit
1318,continental,a.,Of or pertaining to a continent
1319,continually,adv.,Without cessation
1320,continued,imp. & p. p.,of Continue
1321,continuing,p. pr. & vb. n.,of Continue
1322,continue,v. i.,To remain in a given place or condition
1323,continuity,n.,the state of being continuous
1324,continuous,a.,"Without break, cessation, or interruption"
1325,continuously,adv.,In a continuous maner
1326,contracting,p. pr. & vb. n.,of Contract
1327,contract,n.,To draw together or nearer
1328,contractor,n.,One who contracts
1329,contrary,a.,Opposite
1330,contrast,v. i.,To stand in opposition
1331,contributed,imp. & p. p.,of Contribute
1332,contributing,p. pr. & vb. n.,of Contribute
1333,contribute,v. t.,To give or grant i common with others
1334,contribution,n.,The act of contributing
1335,control,n.,"A duplicate book, register, or account, kept to correct or check another account or register"
1336,controlled,imp. & p. p.,of Control
1337,controlling,p. pr. & vb. n.,of Control
1338,controller,n.,"One who, or that which, controls or restraines"
1339,controversial,a.,"Relating to, or consisting of, controversy"
1340,controversy,n.,Contention
1341,convenience,n.,Alt
1342,convenient,v. i.,Fit or adapted
1343,convention,v. i.,The act of coming together
1344,conventional,a.,Formed by agreement or compact
1345,convergence,n.,Alt
1346,conversation,n.,General course of conduct
1347,conversion,n.,"The act of turning or changing from one state or condition to another, or the state of being changed"
1348,converted,imp. & p. p.,of Convert
1349,convert,v. t.,To cause to turn
1350,converter,n.,One who converts
1351,convertible,a.,Capable of being converted
1352,convicted,imp. & p. p.,of Convict
1353,conviction,n.,The act of convicting
1354,convinced,imp. & p. p.,of Convince
1355,cook,v. i.,To make the noise of the cuckoo
1356,cooked,imp. & p. p.,of Cook
1357,cooking,p. pr & vb. n.,of Cook
1358,cookbook,n.,A book of directions and receipts for cooking
1359,cookie,n.,See Cooky
1360,cookies,pl. ,of Cooky
1361,cool,superl.,Moderately cold
1362,cooling,p. pr. & vb. n.,of Cool
1363,cooler,n.,"That which cools, or abates heat or excitement"
1364,cooper,n.,"One who makes barrels, hogsheads, casks, etc"
1365,cooperation,n.,"The act of cooperating, or of operating together to one end"
1366,cooperative,a.,Operating jointly to the same end
1367,coordinate,a.,Equal in rank or order
1368,coordinated,imp. & p. p.,of Coordinate
1369,coordination,n.,The act of coordinating
1370,cop,n.,The top of a thing
1371,cope,n.,A covering for the head
1372,copper,n.,"A common metal of a reddish color, both ductile and malleable, and very tenacious"
1373,copies,pl. ,of Copy
1374,copy,n.,An abundance or plenty of anything
1375,copied,imp. & p. p.,of Copy
1376,copying,p. pr. & vb. n.,of Copy
1377,copyright,n.,"The right of an author or his assignee, under statute, to print and publish his literary or artistic work, exclusively of all other persons"
1378,coral,n.,"The hard parts or skeleton of various Anthozoa, and of a few Hydrozoa"
1379,cord,n.,"A string, or small rope, composed of several strands twisted together"
1380,core,n.,A body of individuals
1381,cork,n.,"The outer layer of the bark of the cork tree (Quercus Suber), of which stoppers for bottles and casks are made"
1382,corn,n.,"A thickening of the epidermis at some point, esp"
1383,corner,n.,The point where two converging lines meet
1384,corporate,a.,Formed into a body by legal enactment
1385,corporation,n.,"A body politic or corporate, formed and authorized by law to act as a single person, and endowed by law with the capacity of succession"
1386,corps,n. sing. & pl.,"The human body, whether living or dead"
1387,corpus,n.,"A body, living or dead"
1388,correct,a.,"Set right, or made straight"
1389,corrected,imp. & p. p.,of Correct
1390,correction,n.,"The act of correcting, or making that right which was wrong"
1391,correctly,adv.,In a correct manner
1392,correlation,n.,Reciprocal relation
1393,corresponding,p. pr. & vb. n.,of Correspond
1394,correspondence,n.,Friendly intercourse
1395,corruption,n.,"The act of corrupting or making putrid, or state of being corrupt or putrid"
1396,cosmetic,a.,Alt
1397,cost,n.,A rib
1398,costa,n.,A rib of an animal or a human being
1399,costume,n.,Dress in general
1400,cottage,n.,A small house
1401,cotton,n.,"A soft, downy substance, resembling fine wool, consisting of the unicellular twisted hairs which grow on the seeds of the cotton plant"
1402,council,n.,"An assembly of men summoned or convened for consultation, deliberation, or advice"
1403,counsel,n.,Interchange of opinions
1404,counseling,p. pr. & vb. n.,of Counsel
1405,counted,imp. & p. p.,of Count
1406,counting,p. pr. & vb. n.,of Count
1407,count,v. t.,"To tell or name one by one, or by groups, for the purpose of ascertaining the whole number of units in a collection"
1408,counter,adv.,"A prefix meaning contrary, opposite, in opposition"
1409,countries,pl. ,of Country
1410,country,adv.,A tract of land
1411,counties,pl. ,of County
1412,county,n.,An earldom
1413,couple,a.,That which joins or links two things together
1414,coupled,imp. & p. p.,of Couple
1415,coupon,n.,"A certificate of interest due, printed at the bottom of transferable bonds (state, railroad, etc"
1416,courage,n.,The heart
1417,courier,n.,"A messenger sent with haste to convey letters or dispatches, usually on public business"
1418,course,n.,The act of moving from one point to another
1419,court,n.,An inclosed space
1420,courtesy,n.,Politeness
1421,cove,n.,A retired nook
1422,covered,imp. & p. p.,of Cover
1423,covering,p. pr. & vb. n.,of Cover
1424,cover,v. t.,To overspread the surface of (one thing) with another
1425,cow,n.,A chimney cap
1426,cowboy,n.,A cattle herder
1427,cox,n.,A coxcomb
1428,crack,v. t.,"To break or burst, with or without entire separation of the parts"
1429,cradle,n.,"A bed or cot for a baby, oscillating on rockers or swinging on pivots"
1430,craft,n.,Strength
1431,craps,n.,A gambling game with dice
1432,crash,v. t. ,To break in pieces violently
1433,crawford,n.,A Crawford peach
1434,crazy,a.,Characterized by weakness or feebleness
1435,cream,n.,"The rich, oily, and yellowish part of milk, which, when the milk stands unagitated, rises, and collects on the surface"
1436,create,a.,Created
1437,created,imp. & p. p.,of Create
1438,creating,p. pr. & vb. n.,of Create
1439,creation,n.,The act of creating or causing to exist
1440,creative,a.,Having the power to create
1441,creature,n.,Anything created
1442,credit,n.,Reliance on the truth of something said or done
1443,creek,n.,"A small inlet or bay, narrower and extending further into the land than a cove"
1444,crest,n.,"A tuft, or other excrescence or natural ornament, growing on an animal's head"
1445,crew,n.,The Manx shearwater
1446,cricket,n.,"An orthopterous insect of the genus Gryllus, and allied genera"
1447,crime,n.,"Any violation of law, either divine or human"
1448,criminal,a.,Guilty of crime or sin
1449,crisis,n.,"The point of time when it is to be decided whether any affair or course of action must go on, or be modified or terminate"
1450,criteria,pl. ,of Criterion
1451,criterion,n.,A standard of judging
1452,critical,n.,"Qualified to criticise, or pass judgment upon, literary or artistic productions"
1453,criticism,n.,The rules and principles which regulate the practice of the critic
1454,crop,n.,"The pouchlike enlargement of the gullet of birds, serving as a receptacle for food"
1455,cross,n.,"A gibbet, consisting of two pieces of timber placed transversely upon one another, in various forms, as a T, or +, with the horizontal piece below the upper end of the upright, or as an X"
1456,crossing,p. pr. & vb. n.,of Cross
1457,crown,0,of Crow
1458,crowd,v. t.,"To push, to press, to shove"
1459,crucial,a.,Having the form of a cross
1460,crude,superl.,In its natural state
1461,cruise,n.,"See Cruse, a small bottle"
1462,cry,v. i.,To make a loud call or cry
1463,crystal,n.,"The regular form which a substance tends to assume in solidifying, through the inherent power of cohesive attraction"
1464,cube,n.,"A regular solid body, with six equal square sides"
1465,cubic,a.,Alt
1466,cuisine,n.,The kitchen or cooking department
1467,cult,n .,Attentive care
1468,cultural,a.,Of or pertaining to culture
1469,culture,n.,"The act or practice of cultivating, or of preparing the earth for seed and raising crops by tillage"
1470,cumulative,a.,Composed of parts in a heap
1471,cup,n.,"A small vessel, used commonly to drink from"
1472,cure,n.,"Care, heed, or attention"
1473,curious,a.,Difficult to please or satisfy
1474,currencies,pl. ,of Currency
1475,currency,n.,A continued or uninterrupted course or flow like that of a stream
1476,current,a.,Running or moving rapidly
1477,currently,adv.,In a current manner
1478,curriculum,n.,A race course
1479,cursor,n.,Any part of a mathematical instrument that moves or slides backward and forward upon another part
1480,curve,a.,Bent without angles
1481,custody,n.,A keeping or guarding
1482,custom,n.,Frequent repetition of the same act
1483,customer,n.,One who collect customs
1484,cut,imp. & p. p.,of Cut
1485,cutting,p. pr. & vb. n.,of Cut
1486,cute,a.,Clever
1487,cycle,n.,An imaginary circle or orbit in the heavens
1488,cycling,p. pr. & vb. n.,of Cycle
1489,cylinder,n.,A solid body which may be generated by the rotation of a parallelogram round one its sides
1490,cyprus,n.,"A thin, transparent stuff, the same as, or corresponding to, crape"
1491,czech,n.,One of the Czechs
1492,d,0,"The fourth letter of the English alphabet, and a vocal consonant"
1493,dad,n.,Father
1494,daddy,n.,Diminutive of Dad
1495,daily,a.,"Happening, or belonging to, each successive day"
1496,dairy,n.,"The place, room, or house where milk is kept, and converted into butter or cheese"
1497,daisy,n.,"A genus of low herbs (Bellis), belonging to the family Compositae"
1498,dale,n.,A low place between hills
1499,dam,n.,A female parent
1500,damage,n.,"Injury or harm to person, property, or reputation"
1501,damages,imp. & p. p.,of Damage
1502,dame,n.,"A mistress of a family, who is a lady"
1503,damn,v. t.,To condemn
1504,dan,n.,"A title of honor equivalent to master, or sir"
1505,dancing,p. pr. & vb. n.,of Dance
1506,dance,v. i.,"To move with measured steps, or to a musical accompaniment"
1507,danger,n.,Authority
1508,dangerous,a.,Attended or beset with danger
1509,daniel,n.,A Hebrew prophet distinguished for sagacity and ripeness of judgment in youth
1510,danish,a.,"Belonging to the Danes, or to their language or country"
1511,dare,v. i.,To have adequate or sufficient courage for any purpose
1512,dark,a.,"Destitute, or partially destitute, of light"
1513,darkness,n.,The absence of light
1514,dash,v. t.,To throw with violence or haste
1515,data,n. pl.,See Datum
1516,date,n.,The fruit of the date palm
1517,dated,imp. & p. p.,of Date
1518,dating,p. pr. & vb. n.,of Date
1519,daughters,pl. ,of Daughter
1520,daughter,n.,The female offspring of the human species
1521,dawn,v. i.,To begin to grow light in the morning
1522,day,n.,"The time of light, or interval between one night and the next"
1523,dead,a.,Deprived of life
1524,deadly,a.,Capable of causing death
1525,deaf,a.,"Wanting the sense of hearing, either wholly or in part"
1526,deal,n.,A part or portion
1527,dealt,imp. & p. p.,of Deal
1528,dealing,p. pr. & vb. n.,of Deal
1529,dealer,n.,One who deals
1530,dean,n.,A dignitary or presiding officer in certain ecclesiastical and lay bodies
1531,dear,superl.,Bearing a high price
1532,death,v. i.,"The cessation of all vital phenomena without capability of resuscitation, either in animals or plants"
1533,debate,v. t.,To engage in combat for
1534,debt,n.,"That which is due from one person to another, whether money, goods, or services"
1535,debut,n.,A beginning or first attempt
1536,decade,n.,A group or division of ten
1537,december,n.,"The twelfth and last month of the year, containing thirty-one days"
1538,decent,a.,"Suitable in words, behavior, dress, or ceremony"
1539,decided,imp. & p. p.,of Decide
1540,decide,v. t.,To cut off
1541,decimal,a.,Of or pertaining to decimals
1542,decision,n.,Cutting off
1543,deck,v. t.,To cover
1544,declaration,n.,"The act of declaring, or publicly announcing"
1545,declared,imp. & p. p.,of Declare
1546,declare,v. t.,To make clear
1547,declined,imp. & p. p.,of Decline
1548,decline,v. i.,"To bend, or lean downward"
1549,decorating,p. pr. & vb. n.,of Decorate
1550,decorative,a.,Suited to decorate or embellish
1551,decreased,imp. & p. p.,of Decrease
1552,decrease,n.,"To grow less, -- opposed to increase"
1553,dedicated,imp. & p. p.,of Dedicate
1554,deemed,imp. & p. p.,of Deem
1555,deep,superl.,Extending far below the surface
1556,deeply,adv.,At or to a great depth
1557,deer,n. sing. & pl.,Any animal
1558,default,n.,A failing or failure
1559,defeat,v. t.,To undo
1560,defence,n. & v. t.,See Defense
1561,defend,v. t.,To ward or fend off
